,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
122,122,현대 아반떼AD 1.6 밸류 플러스,차량번호 56서4834,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161376&gubun=K,2017.08 (18년형),"73,879 km",가솔린,"1,591 cc (132마력)",흰색,"60개월 / 100,000km",850만원,50,무,무,유,무,무,유,무,유,무,유,등록,2.0,0.0,0.0,0.0,0.0,6.0,"11,788,411",3.0,"4,478,871"
123,123,현대 아반떼MD 1.6 M16 스마트,차량번호 36수8738,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162608&gubun=K,2012.12 (13년형),"90,187 km",가솔린,"1,591 cc (140마력)",검정색,만료,590만원,34,유,무,유,무,무,무,무,유,무,무,등록,6.0,0.0,0.0,0.0,0.0,8.0,"4,924,005",2.0,"1,817,270"
124,124,현대 아반떼MD 1.6 M16 럭셔리,차량번호 18오2743,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163043&gubun=K,2011.10,"71,421 km",가솔린,"1,591 cc ()",흰색,만료,630만원,41,,,,,,,,,,,등록,,,,,,,,,
125,125,현대 더 뉴 아반떼 1.6 LPi 스마트,차량번호 43러6196,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163206&gubun=K,2014.01,"93,226 km",LPG,"1,591 cc (120마력)",회색,정보없음,599만원,준비중,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
126,126,현대 아반떼AD 1.6 디젤  프리미엄,차량번호 01수3164,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163406&gubun=K,2017.03,"103,344 km",디젤,"1,582 cc (136마력)",흰색,만료,999만원,41,,,,,,,,,,,등록,5.0,0.0,0.0,0.0,0.0,1.0,"349,000",2.0,"3,652,456"
127,127,현대 아반떼MD 1.6  M16 럭셔리,차량번호 24고2153,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158417&gubun=K,2012.07,"98,397 km",가솔린,"1,591 cc ()",진회색,만료,499만원,32,,,,,,,,,,,등록,2.0,0.0,0.0,0.0,0.0,2.0,"8,695,454",0.0,0
128,128,현대 아반떼AD 1.6 디젤  프리미엄,차량번호 34모3442,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160609&gubun=K,2017.12 (18년형),"90,276 km",디젤,"1,582 cc (136마력)",흰색,"60개월 / 100,000km","1,090만원",44,,,,,,,,,,,등록,3.0,0.0,0.0,0.0,0.0,3.0,"9,209,122",2.0,"21,358,025"
129,129,현대 아반떼MD 1.6  M16 에비뉴,차량번호 27도2237,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161447&gubun=K,2013.02,"35,038 km",가솔린,"1,591 cc (140마력)",은색,만료,950만원,53,유,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
130,130,현대 아반떼AD 1.6 프리미엄,차량번호 55모6878,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149862&gubun=K,2015.10 (16년형),"59,571 km",가솔린,"1,591 cc (132마력)",은색,만료,"1,410만원",66,무,무,유,유,무,유,무,유,무,무,등록,0.0,0.0,0.0,0.0,0.0,4.0,"1,921,376",2.0,"2,555,430"
131,131,현대 아반떼MD 1.6  M16 프리미어,차량번호 13버6733,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160557&gubun=K,2012.01,"125,799 km",가솔린,"1,591 cc (140마력)",회색,만료,650만원,35,무,무,유,유,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,4.0,"3,954,029",0.0,0
132,132,현대 아반떼AD 1.6 스마트,차량번호 186저1376,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162547&gubun=K,2015.09 (16년형),"80,000 km",가솔린,"1,591 cc (132마력)",흰색,만료,"1,180만원",66,무,무,유,무,무,유,무,유,무,유,등록,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
133,133,현대 아반떼AD 1.6 프리미엄,차량번호 57마0222,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162548&gubun=K,2015.10 (16년형),"72,000 km",가솔린,"1,591 cc (132마력)",검정색,만료,"1,280만원",60,무,무,유,유,유,유,무,유,무,유,등록,4.0,0.0,0.0,0.0,0.0,1.0,"152,970",3.0,"2,064,649"
134,134,현대 더 뉴 아반떼  1.6 스마트   ,차량번호 20누4136,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160369&gubun=K,2015.03,"131,686 km",가솔린,"1,591 cc (140마력)",흰색 (랩핑),불가,790만원,45,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
135,135,현대 아반떼AD 1.6 GDi 스마트,차량번호 392도8718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149068&gubun=K,2018.04,"27,950 km",가솔린,"1,591 cc (132마력)",청색,"60개월 / 100,000km","1,380만원",75,무,무,유,무,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
136,136,현대 아반떼AD 1.6 터보 오리지널,차량번호 357가5756,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2151478&gubun=K,2017.12 (18년형),"99,500 km",가솔린,"1,591 cc (204마력)",진청색,"60개월 / 100,000km","1,090만원",52,무,무,유,무,무,유,무,유,무,유,등록,1.0,0.0,0.0,0.0,0.0,1.0,"4,728,750",0.0,0
137,137,현대 아반떼AD  1.6 터보 DCT   ,차량번호 174도2434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163602&gubun=K,2016.06 (17년형),"120,756 km",가솔린,"1,591 cc (204마력)",검정색,불가,"1,430만원",66,유,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
138,138,현대 아반떼HD 1.6 디젤  E16 디럭스,차량번호 10우4865,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161645&gubun=K,2007.01,"104,076 km",디젤,"1,582 cc (117마력)",검정색,만료,299만원,20,,,,,,,,,,,등록,1.0,0.0,0.0,0.0,0.0,7.0,"5,413,551",5.0,"3,202,317"
139,139,현대 아반떼HD 1.6  S16 럭셔리,차량번호 10나5832,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162808&gubun=K,2006.11 (07년형),"126,605 km",가솔린,"1,591 cc (121마력)",검정색,만료,299만원,21,,,,,,,,,,,등록,1.0,0.0,0.0,0.0,0.0,3.0,"2,486,713",4.0,"2,626,680"
140,140,현대 아반떼MD 1.6 LPi  M16 디럭스,차량번호 45더2294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162942&gubun=K,2012.06,"172,231 km",LPG,"1,591 cc (120마력)",검정색,만료,480만원,준비중,,,,,,,,,,,등록,6.0,0.0,0.0,0.0,0.0,1.0,"931,890",3.0,"3,735,721"
141,141,현대 아반떼AD  1.6 디젤 프리미엄   ,차량번호 29보0113,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157686&gubun=K,2016.05,"111,250 km",디젤,"1,582 cc (136마력)",흰색,불가,"1,250만원",52,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
142,142,현대 아반떼AD 1.6 디젤 프리미엄,차량번호 04가1547,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162810&gubun=K,2015.11 (16년형),"79,666 km",디젤,"1,582 cc (136마력)",기타색상,만료,"1,050만원",44,유,무,유,유,무,유,무,유,무,유,등록,3.0,0.0,0.0,0.0,0.0,2.0,"5,620,156",0.0,0
